SampleID,Group,watershedCode,Location,Metacode,Species,Species_code,SiteID,Creek,Sampling_Year,Starting_Material,Filtered Reads,Coverage
Y160017IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,1212659,0.0812636
Y160018IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,1195746,0.0796264
Y160023IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,1306995,0.087227
Y160024IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,1229908,0.0822833
Y160025IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,1155818,0.0775934
Y160028IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,1603772,0.107055
Y160030IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,2301530,0.153263
Y160033IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,1881507,0.125521
Y160034IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,1546828,0.103479
Y160035IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,1147397,0.0768841
Y160038IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,1430032,0.0956975
Y160039IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,888018,0.0596323
Y160041IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,905679,0.0608892
Y160016CAR_RA,Heenan L.,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA,1502684,0.100462
Y160029CAR_RA,Heenan L.,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA,1866488,0.123408
Y160033CAR_RA,Heenan L.,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA,1392719,0.0924454
Y160037CAR_RA,Heenan L.,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA,1510325,0.101053
Y160043CAR_RA,Heenan L.,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA,1616499,0.107179
Y160047CAR_RA,Heenan L.,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA,1618901,0.107939
Y160048CAR_RA,Heenan L.,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA,1398313,0.0926739
Y160049CAR_RA,Heenan L.,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA,1324672,0.0880842
Y160051CAR_RA,Heenan L.,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA,1674210,0.11111
Y160054CAR_RA,Heenan L.,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA,1351545,0.0902779
Y160057CAR_RA,Heenan L.,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA,1807224,0.120551
Y160058CAR_RA,Heenan L.,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA,1521107,0.101075
Y160060CAR_RA,Heenan L.,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA,1661157,0.110582
Y160061CAR_RA,Heenan L.,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA,1434827,0.0956302
Y160063CAR_RA,Heenan L.,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA,1545576,0.103012
Y160064CAR_RA,Heenan L.,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA,1434125,0.0959695
Y160073CAR_RA,Heenan L.,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA,1646157,0.110376
Y160077CAR_RA,Heenan L.,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA,1335765,0.0899346
Y160080CAR_RA,Heenan L.,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA,1590254,0.107152
Y160081CAR_RA,Heenan L.,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA,1387784,0.09308
