SampleID,Group,watershedCode,Location,Metacode,Species,Species_code,SiteID,Creek,Sampling_Year,Starting_Material,Path,NewPath
Y170076CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170076CAR_RA.sort.flt.bam,bamsY170076CAR_RA.sort.flt.bam
Y170077CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170077CAR_RA.sort.flt.bam,bamsY170077CAR_RA.sort.flt.bam
Y170078CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170078CAR_RA.sort.flt.bam,bamsY170078CAR_RA.sort.flt.bam
Y170079CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW02_libPla3/Y170079CAR_RA.sort.flt.bam,bamsY170079CAR_RA.sort.flt.bam
Y170080CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW03_libPla4/Y170080CAR_RA.sort.flt.bam,bamsY170080CAR_RA.sort.flt.bam
Y170081CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW03_libPla4/Y170081CAR_RA.sort.flt.bam,bamsY170081CAR_RA.sort.flt.bam
Y170082CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW03_libPla4/Y170082CAR_RA.sort.flt.bam,bamsY170082CAR_RA.sort.flt.bam
Y170083CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW03_libPla4/Y170083CAR_RA.sort.flt.bam,bamsY170083CAR_RA.sort.flt.bam
Y170084CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW03_libPla4/Y170084CAR_RA.sort.flt.bam,bamsY170084CAR_RA.sort.flt.bam
Y170085CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW03_libPla4/Y170085CAR_RA.sort.flt.bam,bamsY170085CAR_RA.sort.flt.bam
Y170086CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW03_libPla4/Y170086CAR_RA.sort.flt.bam,bamsY170086CAR_RA.sort.flt.bam
Y170087CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW03_libPla4/Y170087CAR_RA.sort.flt.bam,bamsY170087CAR_RA.sort.flt.bam
Y170088CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW03_libPla4/Y170088CAR_RA.sort.flt.bam,bamsY170088CAR_RA.sort.flt.bam
