SampleID,Group,watershedCode,Location,Metacode,Species,Species_code,SiteID,Creek,Sampling_Year,Starting_Material
Y170085CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170086CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170087CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170088CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170089CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170090CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170091CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170092CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170093CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170094CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170095CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170096CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170097CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170098CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170099CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170100CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170101CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170102CAR_RA,CARSON,CAR,East Fork Poison Flat Creek,CAR_EFPoison,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y160001CAR_RA,HEENAN,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA
Y160002CAR_RA,HEENAN,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA
Y160003CAR_RA,HEENAN,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA
Y160004CAR_RA,HEENAN,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA
Y160005CAR_RA,HEENAN,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA
Y160006CAR_RA,HEENAN,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA
Y160007CAR_RA,HEENAN,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA
Y160008CAR_RA,HEENAN,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA
Y160009CAR_RA,HEENAN,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA
Y160010CAR_RA,HEENAN,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA
Y160011CAR_RA,HEENAN,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA
Y160012CAR_RA,HEENAN,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA
Y160013CAR_RA,HEENAN,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA
Y160014CAR_RA,HEENAN,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA
Y160015CAR_RA,HEENAN,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA
Y160016CAR_RA,HEENAN,CAR_HL,HL,HEENAN,Lahontan Cutthroat Trout,LCT,HEENAN,Heenan Lake,2010,Extracted DNA
