SampleID,Group,watershedCode,Location,Metacode,Species,Species_code,SiteID,Creek,Sampling_Year,Starting_Material,Path,NewPath,Aligned,Filtered,Coverage,Diff,NewGroup
Y160007IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW03_libPla4/Y160007IPL_RA.sort.flt.bam,bams/Y160007IPL_RA.sort.flt.bam,NA,1207514,0.0807969,396258,Independence L.
Y160009IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW03_libPla4/Y160009IPL_RA.sort.flt.bam,bams/Y160009IPL_RA.sort.flt.bam,NA,1695325,0.112979,91553,Independence L.
Y160013IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW03_libPla4/Y160013IPL_RA.sort.flt.bam,bams/Y160013IPL_RA.sort.flt.bam,NA,1257446,0.0839791,346326,Independence L.
Y160016IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW03_libPla4/Y160016IPL_RA.sort.flt.bam,bams/Y160016IPL_RA.sort.flt.bam,NA,1551876,0.103907,51896,Independence L.
Y160017IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW03_libPla4/Y160017IPL_RA.sort.flt.bam,bams/Y160017IPL_RA.sort.flt.bam,NA,1212659,0.0812636,391113,Independence L.
Y160018IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW03_libPla4/Y160018IPL_RA.sort.flt.bam,bams/Y160018IPL_RA.sort.flt.bam,NA,1195746,0.0796264,408026,Independence L.
Y160023IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW03_libPla4/Y160023IPL_RA.sort.flt.bam,bams/Y160023IPL_RA.sort.flt.bam,NA,1306995,0.087227,296777,Independence L.
Y160024IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW03_libPla4/Y160024IPL_RA.sort.flt.bam,bams/Y160024IPL_RA.sort.flt.bam,NA,1229908,0.0822833,373864,Independence L.
Y160025IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW03_libPla4/Y160025IPL_RA.sort.flt.bam,bams/Y160025IPL_RA.sort.flt.bam,NA,1155818,0.0775934,447954,Independence L.
Y160028IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW03_libPla4/Y160028IPL_RA.sort.flt.bam,bams/Y160028IPL_RA.sort.flt.bam,NA,1603772,0.107055,0,Independence L.
Y160030IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW03_libPla4/Y160030IPL_RA.sort.flt.bam,bams/Y160030IPL_RA.sort.flt.bam,NA,2301530,0.153263,697758,Independence L.
Y160033IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW03_libPla4/Y160033IPL_RA.sort.flt.bam,bams/Y160033IPL_RA.sort.flt.bam,NA,1881507,0.125521,277735,Independence L.
Y160034IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW03_libPla4/Y160034IPL_RA.sort.flt.bam,bams/Y160034IPL_RA.sort.flt.bam,NA,1546828,0.103479,56944,Independence L.
Y160035IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW03_libPla4/Y160035IPL_RA.sort.flt.bam,bams/Y160035IPL_RA.sort.flt.bam,NA,1147397,0.0768841,456375,Independence L.
Y160038IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW03_libPla4/Y160038IPL_RA.sort.flt.bam,bams/Y160038IPL_RA.sort.flt.bam,NA,1430032,0.0956975,173740,Independence L.
Y160039IPL_RA,Independence L.,IPL,IPL,INDEPEN,Lahontan Cutthroat Trout,LCT,IPL,Independence Lake,2016,Extracted DNA,/home/amilzz/amilzz/data/alignCDFW03_libPla4/Y160039IPL_RA.sort.flt.bam,bams/Y160039IPL_RA.sort.flt.bam,NA,888018,0.0596323,715754,Independence L.
